id,code,name,industry,foundation,sales,profit,cagr,answer1,answer2,
92,5103,昭和ホールディングス,自動車・産業用ゴム製品,http://www.showa-holdings.co.jp/,128,28,11,4,1,
93,7463,アドヴァン,建材・住設卸,http://www.advan.co.jp/,196,28,5,4,1,
94,8920,東祥,フィットネスクラブ,http://www.to-sho.net/,214,28,10,4,1,
95,6256,ニューフレアテクノロジー,半導体・液晶製造装置（前工程）,http://www.nuflare.co.jp/,477,28,6,4,1,
96,8379,広島銀行,地方銀行,http://www.hirogin.co.jp/,1383,28,1,4,1,
97,2914,日本たばこ産業,たばこ,http://www.jti.co.jp/,21433,28,0,4,1,
98,2301,学情,人材紹介,http://company.gakujo.ne.jp/,51,27,14,4,1,
99,3454,ファーストブラザーズ,資産運用,http://www.firstbrothers.com/,146,27,N/A,4,1,
100,4686,ジャストシステム,ソフトウェア（一般消費者向け）,http://www.justsystems.com/,203,27,8,4,1,
101,7716,ナカニシ,医療用電子機器,http://www.nsk-nakanishi.co.jp/,318,27,7,4,1,
102,2379,ディップ,人材紹介,http://www.dip-net.co.jp/,332,27,29,4,1,
103,4368,扶桑化学工業,機能性化学（電子材料）,http://www.fusokk.co.jp/,362,27,6,4,1,
104,8806,ダイビル,オフィス・商業施設開発・賃貸,http://www.daibiru.co.jp/,395,27,3,4,1,
105,8544,京葉銀行,地方銀行,http://www.keiyobank.co.jp/,666,27,-2,4,1,
106,3920,アイビーシー,ソフトウェア（インフラ系）,http://www.ibc21.co.jp/,11,26,N/A,4,1,
107,3910,エムケイシステム,ソフトウェア（業務支援）,http://www.mks.jp/,16,26,23,4,1,
108,6538,キャリアインデックス,人材紹介,https://careerindex.co.jp/,17,26,N/A,4,1,
109,3848,データ・アプリケーション,各種受託システム開発,https://www.dal.co.jp/,24,26,5,4,1,
110,6093,エスクロー・エージェント・ジャパン,アウトソーシングサービス,http://www.ea-j.jp/,27,26,18,4,1,
111,6035,アイ・アールジャパンホールディングス,金融情報サービス,http://www.irjapan.jp/,38,26,N/A,4,1,
112,3689,イグニス,モバイルコンテンツ制作・配信,http://1923.co.jp/,56,26,133,4,1,
113,6619,ダブル・スコープ,電池材料,http://w-scope.co.jp/,90,26,31,4,1,
114,9514,エフオン,電力（火力・原子力）,http://www.ef-on.co.jp/,99,26,10,4,1,
115,7730,マニー,医療用器具,http://www.mani.co.jp/,166,26,12,4,1,
116,9672,東京都競馬,競輪・競馬,http://www.tokyotokeiba.co.jp/,198,26,4,4,1,
117,4975,JCU,化学薬品,http://www.jcu-i.com/,208,26,7,4,1,
118,6324,ハーモニック・ドライブ・システムズ,動力伝動装置,http://www.hds.co.jp/,301,26,11,4,1,
119,6425,ユニバーサルエンターテインメント,アミューズメント機器,http://www.universal-777.com/,1112,26,2,4,1,
120,4704,トレンドマイクロ,ソフトウェア（一般消費者向け）,http://www.trendmicro.co.jp/,1319,26,7,4,1,
121,6184,鎌倉新書,専門情報サイト,http://www.kamakura-net.co.jp/,13,25,N/A,4,1,
122,6027,弁護士ドットコム,専門情報サイト,https://corporate.bengo4.com/,17,25,60,4,1,
123,3682,エンカレッジ・テクノロジ,ソフトウェア（インフラ系）,http://www.et-x.jp/,19,25,15,4,1,
124,2183,リニカル,臨床試験受託,http://www.linical.co.jp/,84,25,18,4,1,
125,4517,ビオフェルミン製薬,一般用医薬品,http://www.biofermin.co.jp/,106,25,1,4,1,
126,5015,ビーピー・カストロール,潤滑油,http://www.bpcastrol.com/,128,25,0,4,1,
127,8871,ゴールドクレスト,マンション開発,http://www.goldcrest.co.jp/,358,25,-1,4,1,
128,4816,東映アニメーション,アニメ企画・制作,http://www.toei-anim.co.jp/,407,25,4,4,1,
129,7747,朝日インテック,医療用器具,http://www.asahi-intecc.co.jp/,427,25,16,4,1,
130,8558,東和銀行,地方銀行,http://www.towabank.co.jp/,436,25,0,4,1,
131,8387,四国銀行,地方銀行,http://www.shikokubank.co.jp/,500,25,0,4,1,
132,8550,栃木銀行,地方銀行,http://www.tochigibank.co.jp/,504,25,1,4,1,
133,6806,ヒロセ電機,スイッチ・コネクタ,http://www.hirose.co.jp/,1151,25,4,4,1,
134,7167,めぶきフィナンシャルグループ,地方銀行,http://www.mebuki-fg.co.jp/,2133,25,17,4,1,
135,3003,ヒューリック,オフィス・商業施設開発・賃貸,http://www.hulic.co.jp/,2158,25,18,4,1,
136,3698,CRI・ミドルウェア,ソフトウェア（インフラ系）,http://www.cri-mw.co.jp/,13,24,N/A,4,1,
137,3909,ショーケース・ティービー,ネット広告（ネットマーケティング支援）,http://www.showcase-tv.com/,14,24,14,4,1,
138,2391,プラネット,電子商取引システム,http://www.planet-van.co.jp/,29,24,2,4,1,
139,7810,クロスフォー,宝石・貴金属,http://www.crossfor.com/,41,24,N/A,4,1,
140,5967,TONE,金具・作業工具,http://www.tonetool.co.jp/,58,24,7,4,1,
141,9795,ステップ,学習塾・予備校,http://www.stepnet.co.jp/,102,24,6,4,1,
142,8554,南日本銀行,地方銀行,http://nangin.jp/,193,24,1,4,1,
143,3635,コーエーテクモホールディングス,ゲームソフト,http://www.koeitecmo.co.jp/,370,24,1,4,1,
144,4661,オリエンタルランド,テーマパーク,http://www.olc.co.jp/,4777,24,4,4,1,
145,3914,JIG-SAW,各種受託システム開発,http://www.jig-saw.com/,11,23,N/A,4,1,
146,3939,カナミックネットワーク,医療情報サービス,http://www.kanamic.net/,11,23,N/A,4,1,
147,3835,eBASE,ソフトウェア（業務支援）,http://www.ebase.co.jp/,36,23,5,4,1,
148,7185,ヒロセ通商,ネット証券,http://hirose-fx.co.jp/,67,23,10,4,1,
149,6157,日進工具,切削工具,http://www.ns-tool.com/,88,23,8,4,1,
150,9757,船井総研ホールディングス,経営・財務アドバイザリーサービス,http://hd.funaisoken.co.jp/,164,23,13,4,1,
151,8934,サンフロンティア不動産,リノベーション,http://www.sunfrt.co.jp/,404,23,31,4,1,
152,8803,平和不動産,オフィス・商業施設開発・賃貸,http://www.heiwa-net.co.jp/,417,23,5,4,1,
153,8393,宮崎銀行,地方銀行,http://www.miyagin.co.jp/,523,23,2,4,1,
154,8363,北國銀行,地方銀行,http://www.hokkokubank.co.jp/,674,23,-1,4,1,
